Site,Location,Area,Patient/Person Involved
Commack,Pharmacy,Pharmacy,Visitor
Commack,Phlebotomy,Phlebotomy,Not Applicable
Commack,Phlebotomy,Phlebotomy,Outpatient
Commack,Phlebotomy,Phlebotomy,Visitor
Commack,Radiation Oncology,Chart Coordination,Not Applicable
Commack,Radiation Oncology,Chart Coordination,Outpatient
Commack,Radiation Oncology,Chart Coordination,Visitor
Commack,Radiation Oncology,Chart Rounds,Not Applicable
Commack,Radiation Oncology,Chart Rounds,Outpatient
Commack,Radiation Oncology,Chart Rounds,Visitor
Commack,Radiation Oncology,Clinic,Not Applicable
Commack,Radiation Oncology,Clinic,Outpatient
Commack,Radiation Oncology,Clinic,Visitor
Commack,Radiation Oncology,Simulation - EBRT,Not Applicable
Commack,Radiation Oncology,Simulation - EBRT,Outpatient
Commack,Radiation Oncology,Simulation - EBRT,Visitor
Commack,Radiation Oncology,Treatment,Not Applicable
Commack,Radiation Oncology,Treatment,Outpatient
Commack,Radiation Oncology,Treatment,Visitor
Commack,Radiation Oncology,Treatment Planning - EBRT,Not Applicable
Commack,Radiation Oncology,Treatment Planning - EBRT,Outpatient
Commack,Radiation Oncology,Treatment Planning - EBRT,Visitor
Commack,Radiology,CT,Not Applicable
Commack,Radiology,CT,Outpatient
Commack,Radiology,CT,Visitor
Commack,Radiology,General Radiology,Not Applicable
Commack,Radiology,General Radiology,Outpatient
Commack,Radiology,General Radiology,Visitor
Commack,Radiology,Interventional Radiology,Not Applicable
Commack,Radiology,Interventional Radiology,Outpatient
Commack,Radiology,Interventional Radiology,Visitor
Commack,Radiology,Mammo Interventional,Not Applicable
Commack,Radiology,Mammo Interventional,Outpatient
Commack,Radiology,Mammo Interventional,Visitor
Commack,Radiology,Mammography,Not Applicable
Commack,Radiology,Mammography,Outpatient
Commack,Radiology,Mammography,Visitor
Commack,Radiology,MRI,Not Applicable
Commack,Radiology,MRI,Outpatient
Commack,Radiology,MRI,Visitor
Commack,Radiology,PET CT,Not Applicable
Commack,Radiology,PET CT,Outpatient
Commack,Radiology,PET CT,Visitor
Commack,Radiology,US,Not Applicable
Commack,Radiology,US,Outpatient
Commack,Radiology,US,Visitor
Commack,Ambulatory/Clinic,Trailer,Outpatient
Commack,Ambulatory/Clinic,Trailer,Not Applicable
Commack,Ambulatory/Clinic,Trailer,Visitor
Counseling Center,Ambulatory/Clinic,Clinic,Not Applicable
Counseling Center,Ambulatory/Clinic,Clinic,Outpatient
Counseling Center,Ambulatory/Clinic,Clinic,Visitor
Counseling Center,Non-Clinical Area,Public Spaces,Not Applicable
Counseling Center,Non-Clinical Area,Public Spaces,Outpatient
Counseling Center,Non-Clinical Area,Public Spaces,Visitor
Hauppauge,Ambulatory/Clinic,Dermatology,Not Applicable
Hauppauge,Ambulatory/Clinic,Dermatology,Outpatient
Hauppauge,Ambulatory/Clinic,Dermatology,Visitor
Hauppauge,Ambulatory/Clinic,Mohs Laboratory,Not Applicable
Hauppauge,Ambulatory/Clinic,Mohs Laboratory,Outpatient
Hauppauge,Ambulatory/Clinic,Mohs Laboratory,Visitor
Hauppauge,Non-Clinical Area,Public Spaces,Not Applicable
Hauppauge,Non-Clinical Area,Public Spaces,Outpatient
Hauppauge,Non-Clinical Area,Public Spaces,Visitor
Hauppauge,Patient Financial Services,Patient Financial Services,Not Applicable
Hauppauge,Patient Financial Services,Patient Financial Services,Outpatient
Hauppauge,Patient Financial Services,Patient Financial Services,Visitor
Integrative Medicine,Ambulatory/Clinic,Integrative Medicine,Not Applicable
Integrative Medicine,Ambulatory/Clinic,Integrative Medicine,Outpatient
Integrative Medicine,Ambulatory/Clinic,Integrative Medicine,Visitor
Integrative Medicine,Non-Clinical Area,Public Spaces,Not Applicable
Integrative Medicine,Non-Clinical Area,Public Spaces,Outpatient
Integrative Medicine,Non-Clinical Area,Public Spaces,Visitor
JRSC,Ambulatory/Clinic,JR 4,Not Applicable
JRSC,Ambulatory/Clinic,JR 4,Outpatient
JRSC,Ambulatory/Clinic,JR 4,Visitor
JRSC,Ambulatory/Clinic,JR 5,Not Applicable
JRSC,Ambulatory/Clinic,JR 5,Outpatient
JRSC,Ambulatory/Clinic,JR 5,Visitor
JRSC,Ambulatory/Clinic,JR 6,Not Applicable
JRSC,Ambulatory/Clinic,JR 6,Outpatient
JRSC,Ambulatory/Clinic,JR 6,Visitor
JRSC,CPD,CPD,Not Applicable
JRSC,CPD,CPD,Outpatient
JRSC,CPD,CPD,Visitor
JRSC,Laboratory,Laboratory,Not Applicable
JRSC,Laboratory,Laboratory,Outpatient
JRSC,Laboratory,Laboratory,Visitor
JRSC,Non-Clinical Area,Public Spaces,Not Applicable
JRSC,Non-Clinical Area,Public Spaces,Outpatient
JRSC,Non-Clinical Area,Public Spaces,Visitor
JRSC,Pathology,Pathology,Not Applicable
JRSC,Pathology,Pathology,Outpatient
JRSC,Pathology,Pathology,Visitor
JRSC,Perioperative,Anesthesia - Pain,AXR
JRSC,Perioperative,Anesthesia - Pain,Not Applicable
JRSC,Perioperative,Anesthesia - Pain,Outpatient
JRSC,Perioperative,Anesthesia - Pain,Visitor
JRSC,Perioperative,Anesthesiology,AXR
JRSC,Perioperative,Anesthesiology,Not Applicable
JRSC,Perioperative,Anesthesiology,Outpatient
JRSC,Perioperative,Anesthesiology,Visitor
JRSC,Perioperative,OR,AXR
JRSC,Perioperative,OR,Not Applicable
JRSC,Perioperative,OR,Outpatient
JRSC,Perioperative,OR,Visitor
JRSC,Perioperative,PACU,AXR
JRSC,Perioperative,PACU,Not Applicable
JRSC,Perioperative,PACU,Outpatient
JRSC,Perioperative,PACU,Visitor
JRSC,Perioperative,PSC,AXR
JRSC,Perioperative,PSC,Not Applicable
JRSC,Perioperative,PSC,Outpatient
JRSC,Perioperative,PSC,Visitor
JRSC,Pharmacy,Pharmacy,Not Applicable
JRSC,Pharmacy,Pharmacy,Outpatient
JRSC,Pharmacy,Pharmacy,Visitor
Kimmel,Ambulatory/Clinic,Chemo verification,Not Applicable
Kimmel,Ambulatory/Clinic,Chemo verification,Outpatient
Kimmel,Ambulatory/Clinic,Chemo verification,Visitor
Kimmel,Ambulatory/Clinic,DTU,Not Applicable
Kimmel,Ambulatory/Clinic,DTU,Outpatient
Kimmel,Ambulatory/Clinic,DTU,Visitor
Kimmel,Ambulatory/Clinic,GU chemo,Not Applicable
Kimmel,Ambulatory/Clinic,GU chemo,Outpatient
Kimmel,Ambulatory/Clinic,GU chemo,Visitor
Kimmel,Ambulatory/Clinic,GU Med Onc clinic,Not Applicable
Kimmel,Ambulatory/Clinic,GU Med Onc clinic,Outpatient
Kimmel,Ambulatory/Clinic,GU Med Onc clinic,Visitor
Kimmel,Ambulatory/Clinic,Procedure room,Not Applicable
Kimmel,Ambulatory/Clinic,Procedure room,Outpatient
Kimmel,Ambulatory/Clinic,Procedure room,Visitor
Kimmel,Ambulatory/Clinic,Urology,Not Applicable
Kimmel,Ambulatory/Clinic,Urology,Outpatient
Kimmel,Ambulatory/Clinic,Urology,Visitor
Kimmel,Laboratory,Laboratory,Not Applicable
Kimmel,Laboratory,Laboratory,Outpatient
Kimmel,Laboratory,Laboratory,Visitor
Kimmel,Non-Clinical Area,Public Spaces,Not Applicable
Kimmel,Non-Clinical Area,Public Spaces,Outpatient
Kimmel,Non-Clinical Area,Public Spaces,Visitor
Kimmel,Patient Financial Services,Patient Financial Services,Not Applicable
Kimmel,Patient Financial Services,Patient Financial Services,Outpatient
Kimmel,Patient Financial Services,Patient Financial Services,Visitor
Kimmel,Pharmacy,Pharmacy,Not Applicable
Kimmel,Pharmacy,Pharmacy,Outpatient
Kimmel,Pharmacy,Pharmacy,Visitor
Koch,Ambulatory/Clinic,5th floor Bone Marrow Procedure,Outpatient
Koch,Ambulatory/Clinic,5th floor Bone Marrow Procedure,Visitor
Koch,Ambulatory/Clinic,5th floor Bone Marrow Procedure,Not Applicable
Koch,Ambulatory/Clinic,11th floor infusion unit,Outpatient
Koch,Ambulatory/Clinic,11th floor infusion unit,Visitor
Koch,Ambulatory/Clinic,11th floor infusion unit,Not Applicable
Koch,Ambulatory/Clinic,12th floor Bone Marrow Procedure,Outpatient
Koch,Ambulatory/Clinic,12th floor Bone Marrow Procedure,Visitor
Koch,Ambulatory/Clinic,12th floor Bone Marrow Procedure,Not Applicable
Koch,Ambulatory/Clinic,12th floor infusion unit,Outpatient
Koch,Ambulatory/Clinic,12th floor infusion unit,Visitor
Koch,Ambulatory/Clinic,12th floor infusion unit,Not Applicable
Koch,Ambulatory/Clinic,14th floor Bone Marrow Procedure,Outpatient
Koch,Ambulatory/Clinic,14th floor Bone Marrow Procedure,Visitor
Koch,Ambulatory/Clinic,14th floor Bone Marrow Procedure,Not Applicable
Koch,Ambulatory/Clinic,15th floor infusion unit,Outpatient
Koch,Ambulatory/Clinic,15th floor infusion unit,Visitor
Koch,Ambulatory/Clinic,15th floor infusion unit,Not Applicable
Koch,Ambulatory/Clinic,16th floor Thoracic/Pulmonary Procedure,Outpatient
Koch,Ambulatory/Clinic,16th floor Thoracic/Pulmonary Procedure,Visitor
Koch,Ambulatory/Clinic,16th floor Thoracic/Pulmonary Procedure,Not Applicable
Koch,Ambulatory/Clinic,Adult Bone Marrow Transplant,Outpatient
Koch,Ambulatory/Clinic,Adult Bone Marrow Transplant,Visitor
Koch,Ambulatory/Clinic,Adult Bone Marrow Transplant,Not Applicable
Koch,Ambulatory/Clinic,Anesthesia - Pain,Outpatient
Koch,Ambulatory/Clinic,Anesthesia - Pain,Visitor
Koch,Ambulatory/Clinic,Anesthesia - Pain,Not Applicable
Koch,Ambulatory/Clinic,Apheresis,Outpatient
Koch,Ambulatory/Clinic,Apheresis,Visitor
Koch,Ambulatory/Clinic,Apheresis,Not Applicable
Koch,Ambulatory/Clinic,Benign Hematology,Outpatient
Koch,Ambulatory/Clinic,Benign Hematology,Visitor
Koch,Ambulatory/Clinic,Benign Hematology,Not Applicable
Koch,Ambulatory/Clinic,Car T Cell - investigational,Outpatient
Koch,Ambulatory/Clinic,Car T Cell - investigational,Visitor
Koch,Ambulatory/Clinic,Car T Cell - investigational,Not Applicable
Koch,Ambulatory/Clinic,Cardiology,Outpatient
Koch,Ambulatory/Clinic,Cardiology,Visitor
Koch,Ambulatory/Clinic,Cardiology,Not Applicable
Koch,Ambulatory/Clinic,Cardiology Testing,Outpatient
Koch,Ambulatory/Clinic,Cardiology Testing,Visitor
Koch,Ambulatory/Clinic,Cardiology Testing,Not Applicable
Koch,Ambulatory/Clinic,Center for Drug Development - Leukemia,Outpatient
Koch,Ambulatory/Clinic,Center for Drug Development - Leukemia,Visitor
Koch,Ambulatory/Clinic,Center for Drug Development - Leukemia,Not Applicable
Koch,Ambulatory/Clinic,Chemo verification,Outpatient
Koch,Ambulatory/Clinic,Chemo verification,Visitor
Koch,Ambulatory/Clinic,Chemo verification,Not Applicable
Koch,Ambulatory/Clinic,Consultative Talk,Outpatient
Koch,Ambulatory/Clinic,Consultative Talk,Visitor
Koch,Ambulatory/Clinic,Consultative Talk,Not Applicable
Koch,Ambulatory/Clinic,Dental,Outpatient
Koch,Ambulatory/Clinic,Dental,Visitor
Koch,Ambulatory/Clinic,Dental,Not Applicable
Koch,Ambulatory/Clinic,Dermatology,Outpatient
Koch,Ambulatory/Clinic,Dermatology,Visitor
Koch,Ambulatory/Clinic,Dermatology,Not Applicable
Koch,Ambulatory/Clinic,DTU,Outpatient
Koch,Ambulatory/Clinic,DTU,Visitor
Koch,Ambulatory/Clinic,DTU,Not Applicable
Koch,Ambulatory/Clinic,Early Drug Development,Outpatient
Koch,Ambulatory/Clinic,Early Drug Development,Visitor
Koch,Ambulatory/Clinic,Early Drug Development,Not Applicable
Koch,Ambulatory/Clinic,Endocrine,Outpatient
Koch,Ambulatory/Clinic,Endocrine,Visitor
Koch,Ambulatory/Clinic,Endocrine,Not Applicable
Koch,Ambulatory/Clinic,General Internal Medicine,Outpatient
Koch,Ambulatory/Clinic,General Internal Medicine,Visitor
Koch,Ambulatory/Clinic,General Internal Medicine,Not Applicable
Koch,Ambulatory/Clinic,Geriatrics,Outpatient
Koch,Ambulatory/Clinic,Geriatrics,Visitor
Koch,Ambulatory/Clinic,Geriatrics,Not Applicable
Koch,Ambulatory/Clinic,GI Med Onc,Outpatient
Koch,Ambulatory/Clinic,GI Med Onc,Visitor
Koch,Ambulatory/Clinic,GI Med Onc,Not Applicable
Koch,Ambulatory/Clinic,GMT,Outpatient
Koch,Ambulatory/Clinic,GMT,Visitor
Koch,Ambulatory/Clinic,GMT,Not Applicable
Koch,Ambulatory/Clinic,GYN Med Onc,Outpatient
Koch,Ambulatory/Clinic,GYN Med Onc,Visitor
Koch,Ambulatory/Clinic,GYN Med Onc,Not Applicable
Koch,Ambulatory/Clinic,Head & Neck,Visitor
Koch,Ambulatory/Clinic,Head & Neck,Not Applicable
Koch,Ambulatory/Clinic,Head & Neck,Outpatient
Koch,Ambulatory/Clinic,Infectious Diseases,Outpatient
Koch,Ambulatory/Clinic,Infectious Diseases,Visitor
Koch,Ambulatory/Clinic,Infectious Diseases,Not Applicable
Koch,Ambulatory/Clinic,Leukemia,Outpatient
Koch,Ambulatory/Clinic,Leukemia,Visitor
Koch,Ambulatory/Clinic,Leukemia,Not Applicable
Koch,Ambulatory/Clinic,Lymphoma,Outpatient
Koch,Ambulatory/Clinic,Lymphoma,Visitor
Koch,Ambulatory/Clinic,Lymphoma,Not Applicable
Koch,Ambulatory/Clinic,Melanoma,Outpatient
Koch,Ambulatory/Clinic,Melanoma,Visitor
Koch,Ambulatory/Clinic,Melanoma,Not Applicable
Koch,Ambulatory/Clinic,Multiple Myeloma,Outpatient
Koch,Ambulatory/Clinic,Multiple Myeloma,Visitor
Koch,Ambulatory/Clinic,Multiple Myeloma,Not Applicable
Koch,Ambulatory/Clinic,Neuro Rehab,Outpatient
Koch,Ambulatory/Clinic,Neuro Rehab,Visitor
Koch,Ambulatory/Clinic,Neuro Rehab,Not Applicable
Koch,Ambulatory/Clinic,Neurology,Outpatient
Koch,Ambulatory/Clinic,Neurology,Visitor
Koch,Ambulatory/Clinic,Neurology,Not Applicable
Koch,Ambulatory/Clinic,Plastic and Reconstructive,Outpatient
Koch,Ambulatory/Clinic,Plastic and Reconstructive,Visitor
Koch,Ambulatory/Clinic,Plastic and Reconstructive,Not Applicable
Koch,Ambulatory/Clinic,PST,Inpatient
Koch,Ambulatory/Clinic,PST,Outpatient
Koch,Ambulatory/Clinic,PST,Visitor
Koch,Ambulatory/Clinic,PST,Not Applicable
Koch,Ambulatory/Clinic,Psychiatry & Behavioral Sciences,Outpatient
Koch,Ambulatory/Clinic,Psychiatry & Behavioral Sciences,Visitor
Koch,Ambulatory/Clinic,Psychiatry & Behavioral Sciences,Not Applicable
Koch,Ambulatory/Clinic,Pulmonary Function Testing,Outpatient
Koch,Ambulatory/Clinic,Pulmonary Function Testing,Visitor
Koch,Ambulatory/Clinic,Pulmonary Function Testing,Not Applicable
Koch,Ambulatory/Clinic,Interventional Radiology,Outpatient
Koch,Ambulatory/Clinic,Interventional Radiology,Visitor
Koch,Ambulatory/Clinic,Interventional Radiology,Not Applicable
Koch,Ambulatory/Clinic,Pulmonology,Outpatient
Koch,Ambulatory/Clinic,Pulmonology,Visitor
Koch,Ambulatory/Clinic,Pulmonology,Not Applicable
Koch,Ambulatory/Clinic,Rehabilitation Medicine,Outpatient
Koch,Ambulatory/Clinic,Rehabilitation Medicine,Visitor
Koch,Ambulatory/Clinic,Rehabilitation Medicine,Not Applicable
Koch,Ambulatory/Clinic,Solid Tumor Head and Neck,Outpatient
Koch,Ambulatory/Clinic,Solid Tumor Head and Neck,Visitor
Koch,Ambulatory/Clinic,Solid Tumor Head and Neck,Not Applicable
Koch,Ambulatory/Clinic,Solid Tumor Thoracic,Outpatient
Koch,Ambulatory/Clinic,Solid Tumor Thoracic,Visitor
Koch,Ambulatory/Clinic,Solid Tumor Thoracic,Not Applicable
Koch,Ambulatory/Clinic,Speech and Swallow,Outpatient
Koch,Ambulatory/Clinic,Speech and Swallow,Visitor
Koch,Ambulatory/Clinic,Speech and Swallow,Not Applicable
Koch,Ambulatory/Clinic,Supportive Care,Outpatient
Koch,Ambulatory/Clinic,Supportive Care,Visitor
Koch,Ambulatory/Clinic,Supportive Care,Not Applicable
Koch,Ambulatory/Clinic,Survivorship,Outpatient
Koch,Ambulatory/Clinic,Survivorship,Visitor
Koch,Ambulatory/Clinic,Survivorship,Not Applicable
Koch,Ambulatory/Clinic,Thoracic,Outpatient
Koch,Ambulatory/Clinic,Thoracic,Visitor
Koch,Ambulatory/Clinic,Thoracic,Not Applicable
Koch,Inpatient Unit,Chemo verification,Inpatient
Koch,Inpatient Unit,K5,Inpatient
Koch,Inpatient Unit,K5,Visitor
Koch,Inpatient Unit,K5,Not Applicable
Koch,Non-Clinical Area,K5 Family and Patient Lounge,Outpatient
Koch,Non-Clinical Area,K5 Family and Patient Lounge,Visitor
Koch,Non-Clinical Area,K5 Family and Patient Lounge,Not Applicable
Koch,Non-Clinical Area,Public Spaces,Outpatient
Koch,Non-Clinical Area,Public Spaces,Visitor
Koch,Non-Clinical Area,Public Spaces,Not Applicable
Koch,Non-Clinical Area,Public Spaces,Outpatient
Koch,Non-Clinical Area,Public Spaces,Visitor
Koch,Non-Clinical Area,Public Spaces,Not Applicable
Koch,Non-Clinical Area,Public Spaces,Outpatient
Koch,Non-Clinical Area,Public Spaces,Visitor
Koch,Non-Clinical Area,Public Spaces,Not Applicable
Koch,Non-Clinical Area,Public Spaces,Outpatient
Koch,Non-Clinical Area,Public Spaces,Visitor
Koch,Non-Clinical Area,Public Spaces,Not Applicable
Koch,Non-Clinical Area,Parking Garage,Outpatient
Koch,Non-Clinical Area,Parking Garage,Visitor
Koch,Non-Clinical Area,Parking Garage,Not Applicable
Koch,Non-Clinical Area,Public Spaces,Outpatient
Koch,Non-Clinical Area,Public Spaces,Visitor
Koch,Non-Clinical Area,Public Spaces,Not Applicable
Koch,Laboratory,Mohs Laboratory,Outpatient
Koch,Laboratory,Mohs Laboratory,Visitor
Koch,Laboratory,Mohs Laboratory,Not Applicable
Koch,Laboratory,Laboratory,Outpatient
Koch,Laboratory,Laboratory,Visitor
Koch,Laboratory,Laboratory,Not Applicable
Koch,Perioperative,K5 Endo Suite,Inpatient
Koch,Perioperative,K5 Endo Suite,Outpatient
Koch,Perioperative,K5 Endo Suite,Visitor
Koch,Perioperative,K5 Endo Suite,Not Applicable
Koch,Perioperative,K5 PACU,Inpatient
Koch,Perioperative,K5 PACU,Outpatient
Koch,Perioperative,K5 PACU,Not Applicable
Koch,Perioperative,K5 PACU,Visitor
Koch,Perioperative,K5 PSC,Inpatient
Koch,Perioperative,K5 PSC,Outpatient
Koch,Perioperative,K5 PSC,Visitor
Koch,Perioperative,K5 PSC,Not Applicable
Koch,Perioperative,K8 PSC,Inpatient
Koch,Perioperative,K8 PSC,Outpatient
Koch,Perioperative,K8 PSC,Visitor
Koch,Perioperative,K8 PSC,Not Applicable
Koch,Perioperative,K8 PACU,Inpatient
Koch,Perioperative,K8 PACU,Outpatient
Koch,Perioperative,K8 PACU,Visitor
Koch,Perioperative,K8 PACU,Not Applicable
Koch,Perioperative,PST,Inpatient
Koch,Perioperative,PST,Outpatient
Koch,Perioperative,PST,Visitor
Koch,Perioperative,CPD,Outpatient
Koch,Perioperative,CPD,Visitor
Koch,Perioperative,CPD,Not Applicable
Koch,Pharmacy,10th Floor Pharmacy,Outpatient
Koch,Pharmacy,10th Floor Pharmacy,Visitor
Koch,Pharmacy,10th Floor Pharmacy,Not Applicable
Koch,Pharmacy,Verification,Inpatient
Koch,Pharmacy,Verification,Outpatient
Koch,Pharmacy,Verification,Visitor
Koch,Pharmacy,Verification,Not Applicable
Koch,Pharmacy,Retail pharmacy,Outpatient
Koch,Pharmacy,Retail pharmacy,Visitor
Koch,Pharmacy,Retail pharmacy,Not Applicable
Koch,Pathology,Pathology,Outpatient
Koch,Pathology,Pathology,Visitor
Koch,Pathology,Pathology,Not Applicable
Koch,Phlebotomy,11th floor Quick Treat,Outpatient
Koch,Phlebotomy,11th floor Quick Treat,Visitor
Koch,Phlebotomy,11th floor Quick Treat,Not Applicable
Koch,Phlebotomy,12th floor Quick Treat,Outpatient
Koch,Phlebotomy,12th floor Quick Treat,Visitor
Koch,Phlebotomy,12th floor Quick Treat,Not Applicable
Koch,Phlebotomy,14th floor Quick Treat,Outpatient
Koch,Phlebotomy,14th floor Quick Treat,Visitor
Koch,Phlebotomy,14th floor Quick Treat,Not Applicable
Koch,Phlebotomy,15th floor Quick Treat,Outpatient
Koch,Phlebotomy,15th floor Quick Treat,Visitor
Koch,Phlebotomy,15th floor Quick Treat,Not Applicable
Koch,Phlebotomy,16th floor Quick Treat,Outpatient
Koch,Phlebotomy,16th floor Quick Treat,Visitor
Koch,Phlebotomy,16th floor Quick Treat,Not Applicable
Koch,Phlebotomy,17th floorQuick Treat,Outpatient
Koch,Phlebotomy,17th floorQuick Treat,Visitor
Koch,Phlebotomy,17th floorQuick Treat,Not Applicable
Koch,Radiation Oncology,Chart Coordination,Outpatient
Koch,Radiation Oncology,Chart Coordination,Visitor
Koch,Radiation Oncology,Chart Coordination,Not Applicable
Koch,Radiation Oncology,Chart Rounds,Outpatient
Koch,Radiation Oncology,Chart Rounds,Visitor
Koch,Radiation Oncology,Chart Rounds,Not Applicable
Koch,Radiation Oncology,Infusion,Outpatient
Koch,Radiation Oncology,Infusion,Visitor
Koch,Radiation Oncology,Infusion,Not Applicable
Koch,Radiation Oncology,MR SIM,Outpatient
Koch,Radiation Oncology,MR SIM,Visitor
Koch,Radiation Oncology,MR SIM,Not Applicable
Koch,Radiation Oncology,MRLINAC,Outpatient
Koch,Radiation Oncology,MRLINAC,Visitor
Koch,Radiation Oncology,MRLINAC,Not Applicable
Koch,Radiation Oncology,Simulation - EBRT,Outpatient
Koch,Radiation Oncology,Simulation - EBRT,Visitor
Koch,Radiation Oncology,Simulation - EBRT,Not Applicable
Koch,Radiation Oncology,PET CT,Outpatient
Koch,Radiation Oncology,PET CT,Visitor
Koch,Radiation Oncology,PET CT,Not Applicable
Koch,Radiation Oncology,Treatment Planning - EBRT,Outpatient
Koch,Radiation Oncology,Treatment Planning - EBRT,Visitor
Koch,Radiation Oncology,Treatment Planning - EBRT,Not Applicable
Koch,Radiation Oncology,Clinic,Outpatient
Koch,Radiation Oncology,Clinic,Visitor
Koch,Radiation Oncology,Clinic,Not Applicable
Koch,Radiation Oncology,Koch_TB1,Outpatient
Koch,Radiation Oncology,Koch_TB1,Visitor
Koch,Radiation Oncology,Koch_TB1,Not Applicable
Koch,Radiology,CT,Outpatient
Koch,Radiology,CT,Visitor
Koch,Radiology,CT,Not Applicable
Koch,Radiology,General Radiology,Outpatient
Koch,Radiology,General Radiology,Visitor
Koch,Radiology,General Radiology,Not Applicable
Koch,Radiology,Interventional Radiology,Inpatient
Koch,Radiology,Interventional Radiology,Outpatient
Koch,Radiology,Interventional Radiology,Visitor
Koch,Radiology,Interventional Radiology,Not Applicable
Koch,Radiology,MITS (Molecular Imaging & Therapy Services),Outpatient
Koch,Radiology,MITS (Molecular Imaging & Therapy Services),Visitor
Koch,Radiology,MITS (Molecular Imaging & Therapy Services),Not Applicable
Koch,Radiology,MRI,Outpatient
Koch,Radiology,MRI,Visitor
Koch,Radiology,MRI,Not Applicable
Koch,Radiology,PET,Outpatient
Koch,Radiology,PET,Visitor
Koch,Radiology,PET,Not Applicable
Koch,Radiology,US,Outpatient
Koch,Radiology,US,Visitor
Koch,Radiology,US,Not Applicable
Long Island City,Pharmacy,IDS - Investigational Drug Services,Outpatient
Long Island City,Pharmacy,IDS - Investigational Drug Services,Visitor
Long Island City,Pharmacy,IDS - Investigational Drug Services,Not Applicable
Memorial Medical Care,Flatbush Brooklyn-MMC,Clinic,Outpatient
Memorial Medical Care,Flatbush Brooklyn-MMC,Clinic,Visitor
Memorial Medical Care,Flatbush Brooklyn-MMC,Clinic,Not Applicable
Memorial Medical Care,Flatbush Brooklyn-MMC,Other,Outpatient
Memorial Medical Care,Flatbush Brooklyn-MMC,Other,Visitor
Memorial Medical Care,Flatbush Brooklyn-MMC,Other,Not Applicable
Monmouth,Ambulatory/Clinic,Breast Medicine,Not Applicable
Monmouth,Ambulatory/Clinic,Breast Medicine,Outpatient
Monmouth,Ambulatory/Clinic,Breast Medicine,Visitor
Monmouth,Ambulatory/Clinic,Breast Surgery,Not Applicable
Monmouth,Ambulatory/Clinic,Breast Surgery,Outpatient
Monmouth,Ambulatory/Clinic,Breast Surgery,Visitor
Monmouth,Ambulatory/Clinic,Cardiology Testing,Outpatient
Monmouth,Ambulatory/Clinic,Cardiology Testing,Visitor
Monmouth,Ambulatory/Clinic,Cardiology Testing,Not Applicable
Monmouth,Ambulatory/Clinic,Chemo verification,Not Applicable
Monmouth,Ambulatory/Clinic,Chemo verification,Outpatient
Monmouth,Ambulatory/Clinic,Chemo verification,Visitor
Monmouth,Ambulatory/Clinic,Chemo/Infusion Treatment Area,Not Applicable
Monmouth,Ambulatory/Clinic,Chemo/Infusion Treatment Area,Outpatient
Monmouth,Ambulatory/Clinic,Chemo/Infusion Treatment Area,Visitor
Monmouth,Ambulatory/Clinic,Colorectal Clinic,Not Applicable
Monmouth,Ambulatory/Clinic,Colorectal Clinic,Outpatient
Monmouth,Ambulatory/Clinic,Colorectal Clinic,Visitor
Monmouth,Ambulatory/Clinic,Colorectal Surgery,Not Applicable
Monmouth,Ambulatory/Clinic,Colorectal Surgery,Outpatient
Monmouth,Ambulatory/Clinic,Colorectal Surgery,Visitor
Monmouth,Ambulatory/Clinic,GI Med Onc clinic,Not Applicable
Monmouth,Ambulatory/Clinic,GI Med Onc clinic,Outpatient
Monmouth,Ambulatory/Clinic,GI Med Onc clinic,Visitor
Monmouth,Ambulatory/Clinic,GMT clinic,Not Applicable
Monmouth,Ambulatory/Clinic,GMT clinic,Outpatient
Monmouth,Ambulatory/Clinic,GMT clinic,Visitor
Monmouth,Ambulatory/Clinic,GU Med Onc clinic,Not Applicable
Monmouth,Ambulatory/Clinic,GU Med Onc clinic,Outpatient
Monmouth,Ambulatory/Clinic,GU Med Onc clinic,Visitor
Monmouth,Ambulatory/Clinic,GYN Med Onc clinic,Not Applicable
Monmouth,Ambulatory/Clinic,GYN Med Onc clinic,Outpatient
Monmouth,Ambulatory/Clinic,GYN Med Onc clinic,Visitor
Monmouth,Ambulatory/Clinic,Gynecology Surgery,Not Applicable
Monmouth,Ambulatory/Clinic,Gynecology Surgery,Outpatient
Monmouth,Ambulatory/Clinic,Gynecology Surgery,Visitor
Monmouth,Ambulatory/Clinic,Head & Neck,Not Applicable
Monmouth,Ambulatory/Clinic,Head & Neck,Outpatient
Monmouth,Ambulatory/Clinic,Head & Neck,Visitor
Monmouth,Ambulatory/Clinic,Head & Neck Surgery,Not Applicable
Monmouth,Ambulatory/Clinic,Head & Neck Surgery,Outpatient
Monmouth,Ambulatory/Clinic,Head & Neck Surgery,Visitor
Monmouth,Ambulatory/Clinic,Hematology,Not Applicable
Monmouth,Ambulatory/Clinic,Hematology,Outpatient
Monmouth,Ambulatory/Clinic,Hematology,Visitor
Monmouth,Ambulatory/Clinic,Hepatopancreatobiliary Clinic,Not Applicable
Monmouth,Ambulatory/Clinic,Hepatopancreatobiliary Clinic,Outpatient
Monmouth,Ambulatory/Clinic,Hepatopancreatobiliary Clinic,Visitor
Monmouth,Ambulatory/Clinic,Leukemia,Not Applicable
Monmouth,Ambulatory/Clinic,Leukemia,Outpatient
Monmouth,Ambulatory/Clinic,Leukemia,Visitor
Monmouth,Ambulatory/Clinic,Lymphoma,Not Applicable
